"fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","additional info","quality"
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,0.320272245331555,5
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,0.0170316470001194,5
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,1.01703897263545,5
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,-1.18722169142703,6
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,1.00182230808445,5
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,0.644905575081358,5
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,-0.751534588171739,5
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,-1.62918514864956,7
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,0.12164372322297,7
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,-1.78034455487564,5
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,0.882032329312389,5
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,0.768209184477825,5
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,0.405763917406838,5
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,0.563446212497376,5
8.9,0.62,0.18,3.8,0.176,52,145,0.9986,3.16,0.88,9.2,0.172399865822836,5
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,0.683862444231605,5
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,-1.03438195477068,7
8.1,0.56,0.28,1.7,0.368,16,56,0.9968,3.11,1.28,9.3,-0.248948329506492,5
7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,1.62645977033628,4
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,-1.70625719880338,6
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,-0.249673568326349,6
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,-0.186694568313686,5
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,-0.03704017442632,5
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,-2.01737588350496,5
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,-0.541653713728252,6
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,0.49556277026941,5
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,-0.524499015812932,5
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,-0.615131395810175,5
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,1.49958414195343,5
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,-0.128266493692365,6
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,0.958938136887164,5
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,-0.491906476747829,6
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,2.66191976131853,5
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,0.0488207285936978,6
